Student_ID,College,Year_Level,Prior_GPA,Final_Grade,Reading_Dependency_Score,Writing_Dependency_Score,Numeracy_Dependency_Score,Motivation_Score,Environment_Score,AI_Dependency_Index,AI_Sessions_Week,Avg_Session_Duration_Min,AI_Tools_Count,Primary_AI_Tool,Usage_Purpose_Buckets,Study_Hours_Per_Week,Assignment_Submission_Punctuality,LMS_Activity_Level,Grade_Improvement_Delta,High_Risk_Flag
S0001,College of Arts,1,3.2,3.08,4.31,5.77,6.18,4.77,4.44,5.7,4,29,4,Grammarly,Research,8.7,0.96,13,-0.12,0
S0002,College of Business,1,2.14,2.54,3.62,5.7,7.0,5.39,4.83,5.26,6,15,5,QuillBot,Problem-solving,18.4,0.93,15,0.4,0
S0003,College of Education,3,2.47,2.63,4.78,5.91,4.42,4.88,4.37,4.77,6,14,2,QuillBot,Grammar,13.3,0.94,20,0.16,0
S0004,College of Computer Studies,1,2.84,3.06,6.15,3.45,5.29,5.3,3.56,4.93,7,7,1,Gemini,Paraphrasing,15.2,0.85,21,0.22,0
S0005,College of Engineering,2,3.2,2.86,6.12,5.19,4.61,6.37,4.89,5.28,5,28,3,Bard,Paraphrasing,1.0,0.87,16,-0.34,0
S0006,College of Education,4,3.56,3.98,4.47,2.29,2.81,4.01,4.81,3.12,4,21,3,ChatGPT,Brainstorming,6.3,0.78,16,0.42,1
S0007,College of Engineering,1,2.6,3.73,3.71,4.95,3.55,3.45,4.78,3.88,5,26,4,QuillBot,Paraphrasing,14.3,0.5,24,1.13,0
S0008,College of Business,1,2.47,2.91,5.23,5.25,4.53,5.35,3.95,5.07,3,24,3,QuillBot,Problem-solving,8.1,0.85,21,0.44,0
S0009,College of Arts,1,3.39,3.71,5.08,6.03,6.67,4.75,3.87,5.71,10,13,4,QuillBot,Brainstorming,11.2,0.82,26,0.32,0
S0010,College of Engineering,3,3.31,3.76,5.96,4.29,3.0,4.49,5.48,4.51,6,25,4,Bard,Research,13.2,0.73,18,0.45,1
S0011,College of Business,4,3.38,3.68,5.41,4.33,5.19,4.23,4.44,4.87,4,22,5,ChatGPT,Computation,7.4,0.88,11,0.3,1
S0012,College of Computer Studies,1,3.74,4.0,6.41,6.04,4.22,5.44,5.85,5.5,3,14,3,QuillBot,Computation,17.6,0.82,21,0.26,1
S0013,College of Arts,2,2.47,3.11,7.0,3.7,2.54,4.76,6.76,4.5,6,12,2,Bard,Research,16.8,0.57,10,0.64,0
S0014,College of Education,4,2.85,3.32,4.66,5.79,6.26,3.76,7.0,5.15,6,17,5,Gemini,Research,11.8,0.9,15,0.47,1
S0015,College of Engineering,4,3.14,3.28,5.31,3.86,5.34,5.55,3.92,4.45,9,9,3,Grammarly,Research,8.9,0.82,19,0.14,0
S0016,College of Arts,2,2.82,3.5,6.19,3.01,5.2,5.67,3.93,4.78,5,28,3,QuillBot,Grammar,16.4,0.73,11,0.68,0
S0017,College of Education,4,2.73,3.31,6.4,1.74,6.24,4.7,4.69,4.58,6,21,4,Grammarly,Paraphrasing,13.8,0.76,10,0.58,0
S0018,College of Arts,1,3.2,3.29,6.53,6.24,7.0,4.23,5.66,6.61,6,20,4,ChatGPT,Grammar,5.6,0.82,21,0.09,0
S0019,College of Arts,3,2.97,3.57,4.1,5.24,2.77,5.34,4.6,4.16,5,24,5,ChatGPT,Computation,17.1,0.88,19,0.6,1
S0020,College of Business,1,3.62,3.64,3.34,4.34,4.52,7.0,4.83,4.35,6,28,3,Bard,Brainstorming,16.5,0.58,16,0.02,0
S0021,College of Education,2,2.89,3.21,5.5,7.0,4.3,6.63,3.18,5.32,6,21,3,QuillBot,Problem-solving,6.6,0.84,13,0.32,0
S0022,College of Arts,1,2.78,2.83,2.49,4.51,4.27,2.72,4.59,3.74,5,30,2,Bard,Research,8.5,0.63,18,0.05,0
S0023,College of Engineering,4,3.34,3.7,3.12,4.84,5.46,4.03,4.79,4.73,3,1,5,ChatGPT,Research,6.8,0.5,18,0.36,1
S0024,College of Engineering,3,3.41,3.65,3.88,7.0,3.7,4.33,6.24,4.66,6,15,4,Bard,Grammar,9.1,0.88,11,0.24,0
S0025,College of Computer Studies,2,2.9,2.62,3.23,3.93,5.18,5.5,3.62,4.08,6,29,2,Gemini,Computation,9.2,0.67,18,-0.28,0
S0026,College of Education,4,2.84,3.06,3.66,5.94,5.64,5.77,3.9,5.54,8,22,2,ChatGPT,Grammar,10.4,0.84,14,0.22,0
S0027,College of Computer Studies,1,3.12,3.46,7.0,6.11,3.78,6.2,4.25,5.31,7,11,1,ChatGPT,Computation,11.9,0.83,13,0.34,1
S0028,College of Computer Studies,3,3.91,3.61,4.75,5.17,3.6,4.15,5.61,4.38,6,34,2,ChatGPT,Brainstorming,9.2,0.85,20,-0.3,0
S0029,College of Computer Studies,1,2.58,2.65,3.78,5.06,5.29,4.11,2.14,4.72,7,48,4,Grammarly,Problem-solving,12.0,0.5,26,0.07,1
S0030,College of Engineering,2,3.21,3.04,3.68,4.6,5.59,4.42,5.64,4.11,7,21,4,Bard,Grammar,5.7,0.87,20,-0.17,0
S0031,College of Computer Studies,4,2.68,3.63,4.27,4.8,4.41,4.32,4.86,4.34,3,28,2,ChatGPT,Computation,21.3,0.74,17,0.95,0
S0032,College of Education,3,3.08,3.1,4.91,4.42,4.01,5.53,5.62,4.2,2,31,5,ChatGPT,Computation,16.1,0.95,22,0.02,0
S0033,College of Business,2,2.9,2.9,3.98,5.87,4.78,4.64,5.98,4.67,3,28,4,ChatGPT,Brainstorming,12.3,0.9,19,0.0,0
S0034,College of Computer Studies,1,3.7,3.51,1.59,7.0,4.47,4.9,4.1,4.43,6,43,2,QuillBot,Computation,13.7,0.82,18,-0.19,0
S0035,College of Computer Studies,3,3.8,3.56,5.5,4.1,4.89,6.62,6.43,4.63,5,27,2,Grammarly,Research,9.6,0.89,16,-0.24,0
S0036,College of Computer Studies,3,2.3,2.12,7.0,4.34,4.32,5.18,5.37,4.96,5,23,4,QuillBot,Research,9.7,0.9,22,-0.18,1
S0037,College of Computer Studies,1,2.29,2.6,6.1,2.82,3.91,6.06,4.83,4.46,8,28,5,ChatGPT,Computation,12.7,0.69,21,0.31,0
S0038,College of Computer Studies,2,3.27,3.85,4.54,4.84,5.42,4.48,4.81,4.82,2,11,1,QuillBot,Grammar,16.1,0.76,22,0.58,0
S0039,College of Arts,2,2.46,2.13,5.32,5.87,4.26,6.22,3.95,5.09,8,1,2,ChatGPT,Computation,5.6,0.97,22,-0.33,1
S0040,College of Education,2,2.91,3.32,4.43,5.81,2.74,5.38,4.88,4.5,5,15,5,ChatGPT,Grammar,15.8,0.93,22,0.41,0
S0041,College of Business,4,3.62,3.94,7.0,3.88,3.7,5.29,5.07,5.05,5,42,3,Bard,Problem-solving,8.9,0.92,23,0.32,1
S0042,College of Arts,4,3.23,3.51,4.0,5.69,5.64,5.82,5.26,5.3,5,33,4,Grammarly,Paraphrasing,10.3,0.9,23,0.28,0
S0043,College of Engineering,3,3.02,3.61,2.6,5.92,5.04,7.0,4.36,4.54,9,32,5,ChatGPT,Problem-solving,6.9,0.9,21,0.59,0
S0044,College of Computer Studies,1,2.78,3.66,7.0,2.63,1.34,5.44,4.15,3.57,5,29,2,Gemini,Research,13.6,0.94,24,0.88,0
S0045,College of Education,3,3.58,3.78,4.38,6.48,4.65,5.46,5.33,5.29,3,23,2,Bard,Computation,13.8,0.56,20,0.2,0
S0046,College of Business,4,3.05,2.92,3.55,6.06,3.35,4.55,2.62,4.28,6,1,4,Gemini,Research,9.9,0.77,21,-0.13,0
S0047,College of Computer Studies,3,3.02,3.78,4.12,4.67,3.97,4.27,4.91,4.05,4,35,5,Gemini,Grammar,14.7,0.89,16,0.76,0
S0048,College of Arts,1,3.83,3.4,3.54,7.0,4.46,4.35,4.17,4.96,8,26,2,Grammarly,Research,6.5,0.87,21,-0.43,0
S0049,College of Arts,4,2.64,2.5,2.31,7.0,4.06,6.78,2.9,4.36,9,25,4,Gemini,Paraphrasing,9.8,0.63,18,-0.14,0
S0050,College of Education,1,3.15,3.65,4.38,6.01,2.58,6.11,3.92,4.1,3,19,4,Grammarly,Problem-solving,10.0,0.68,13,0.5,1
S0051,College of Education,4,3.49,3.92,6.2,4.67,4.67,6.3,4.37,5.28,2,29,4,QuillBot,Research,11.2,0.86,7,0.43,0
S0052,College of Arts,2,3.4,3.77,1.0,7.0,4.02,6.11,3.56,4.13,7,11,5,Grammarly,Research,11.6,0.68,20,0.37,0
S0053,College of Arts,4,2.54,2.54,6.79,3.08,4.59,4.25,4.63,4.9,13,20,2,Grammarly,Computation,11.1,0.93,16,0.0,0
S0054,College of Business,4,3.66,4.0,5.91,3.77,7.0,5.98,4.34,4.99,3,44,1,ChatGPT,Brainstorming,15.1,0.85,28,0.34,0
